cards,2,3,4,5,6,7,8,9,10
AA,0.853,0.7340000000000001,0.639,0.5589999999999999,0.49200000000000005,0.436,0.38799999999999996,0.34700000000000003,0.311
AKs,0.67,0.507,0.414,0.354,0.311,0.27699999999999997,0.25,0.22699999999999998,0.207
AKo,0.654,0.48200000000000004,0.386,0.324,0.27899999999999997,0.244,0.21600000000000003,0.192,0.172
AQs,0.6609999999999999,0.494,0.39899999999999997,0.337,0.294,0.26,0.233,0.21100000000000002,0.193
AQo,0.645,0.46799999999999997,0.369,0.304,0.259,0.225,0.19699999999999998,0.175,0.155
AJs,0.654,0.48200000000000004,0.385,0.322,0.278,0.245,0.22,0.19899999999999998,0.18100000000000002
AJo,0.636,0.456,0.354,0.289,0.244,0.21,0.183,0.161,0.14300000000000002
ATs,0.647,0.47100000000000003,0.37200000000000005,0.31,0.267,0.235,0.21,0.18899999999999997,0.17300000000000001
ATo,0.629,0.444,0.341,0.276,0.231,0.198,0.172,0.151,0.134
A9s,0.63,0.44799999999999995,0.34600000000000003,0.284,0.242,0.21100000000000002,0.188,0.16899999999999998,0.154
A9o,0.609,0.418,0.312,0.247,0.203,0.171,0.147,0.128,0.11199999999999999
A8s,0.621,0.43700000000000006,0.336,0.27399999999999997,0.233,0.203,0.18,0.162,0.14800000000000002
A8o,0.601,0.408,0.301,0.237,0.19399999999999998,0.162,0.139,0.12,0.106
A7s,0.611,0.426,0.326,0.265,0.225,0.196,0.174,0.157,0.14300000000000002
A7o,0.591,0.39399999999999996,0.289,0.226,0.184,0.154,0.132,0.114,0.10099999999999999
A6s,0.6,0.413,0.314,0.256,0.217,0.19,0.16899999999999998,0.153,0.14
A6o,0.578,0.38,0.276,0.215,0.175,0.147,0.126,0.109,0.096
A5s,0.599,0.414,0.318,0.26,0.222,0.196,0.175,0.159,0.145
A5o,0.5770000000000001,0.382,0.27899999999999997,0.22,0.18,0.152,0.131,0.115,0.10099999999999999
A4s,0.589,0.40399999999999997,0.309,0.253,0.21600000000000003,0.19,0.17,0.155,0.142
A4o,0.564,0.369,0.26899999999999996,0.21100000000000002,0.17300000000000001,0.147,0.126,0.11,0.098
A3s,0.58,0.39399999999999996,0.3,0.24600000000000002,0.21,0.185,0.166,0.151,0.139
A3o,0.556,0.359,0.261,0.204,0.16699999999999998,0.142,0.122,0.107,0.095
A2s,0.57,0.385,0.292,0.239,0.204,0.18,0.161,0.146,0.134
A2o,0.546,0.35,0.252,0.196,0.161,0.136,0.11699999999999999,0.102,0.091
KK,0.8240000000000001,0.6890000000000001,0.5820000000000001,0.498,0.43,0.375,0.32899999999999996,0.292,0.261
KQs,0.634,0.47100000000000003,0.382,0.325,0.28300000000000003,0.251,0.225,0.204,0.18600000000000003
KQo,0.614,0.444,0.35200000000000004,0.293,0.251,0.218,0.191,0.16899999999999998,0.151
KJs,0.626,0.45899999999999996,0.368,0.311,0.26899999999999996,0.23800000000000002,0.213,0.193,0.17600000000000002
KJo,0.606,0.431,0.336,0.276,0.235,0.20199999999999999,0.177,0.156,0.139
KTs,0.619,0.449,0.35700000000000004,0.299,0.258,0.228,0.204,0.185,0.16899999999999998
KTo,0.599,0.42,0.325,0.265,0.223,0.192,0.16699999999999998,0.147,0.131
K9s,0.6,0.424,0.32899999999999996,0.272,0.23199999999999998,0.203,0.18100000000000002,0.163,0.14800000000000002
K9o,0.58,0.395,0.29600000000000004,0.23600000000000002,0.195,0.165,0.141,0.12300000000000001,0.10800000000000001
K8s,0.585,0.402,0.308,0.251,0.213,0.18600000000000003,0.165,0.14800000000000002,0.135
K8o,0.563,0.37200000000000005,0.273,0.214,0.174,0.146,0.125,0.10800000000000001,0.094
K7s,0.578,0.39399999999999996,0.301,0.245,0.20800000000000002,0.18100000000000002,0.16,0.145,0.132
K7o,0.5539999999999999,0.361,0.263,0.205,0.16699999999999998,0.139,0.11800000000000001,0.102,0.09
K6s,0.568,0.384,0.29100000000000004,0.237,0.201,0.175,0.156,0.14,0.128
K6o,0.5429999999999999,0.35,0.253,0.19699999999999998,0.16,0.133,0.113,0.098,0.086
K5s,0.5579999999999999,0.374,0.282,0.23,0.195,0.17,0.152,0.13699999999999998,0.125
K5o,0.5329999999999999,0.34,0.245,0.19,0.154,0.129,0.11,0.095,0.083
K4s,0.547,0.364,0.27399999999999997,0.223,0.19,0.166,0.14800000000000002,0.134,0.12300000000000001
K4o,0.521,0.32799999999999996,0.23399999999999999,0.18100000000000002,0.147,0.12300000000000001,0.105,0.091,0.08
K3s,0.5379999999999999,0.355,0.267,0.217,0.184,0.162,0.145,0.131,0.121
K3o,0.512,0.319,0.22699999999999998,0.17600000000000002,0.142,0.11900000000000001,0.102,0.08900000000000001,0.078
K2s,0.529,0.34600000000000003,0.26,0.212,0.18100000000000002,0.159,0.14300000000000002,0.13,0.11900000000000001
K2o,0.502,0.309,0.218,0.16899999999999998,0.13699999999999998,0.115,0.098,0.086,0.076
QQ,0.799,0.649,0.535,0.447,0.379,0.325,0.28300000000000003,0.249,0.222
QJs,0.603,0.441,0.35600000000000004,0.301,0.261,0.23,0.207,0.187,0.171
QJo,0.5820000000000001,0.414,0.326,0.26899999999999996,0.22899999999999998,0.198,0.17300000000000001,0.153,0.13699999999999998
QTs,0.595,0.431,0.34600000000000003,0.29100000000000004,0.252,0.223,0.19899999999999998,0.18100000000000002,0.166
QTo,0.574,0.402,0.313,0.257,0.21600000000000003,0.18600000000000003,0.163,0.14400000000000002,0.129
Q9s,0.579,0.40700000000000003,0.319,0.264,0.225,0.19699999999999998,0.17600000000000002,0.159,0.145
Q9o,0.555,0.376,0.285,0.22899999999999998,0.19,0.161,0.138,0.121,0.107
Q8s,0.562,0.386,0.297,0.244,0.207,0.18,0.16,0.14400000000000002,0.132
Q8o,0.5379999999999999,0.354,0.262,0.20600000000000002,0.16899999999999998,0.141,0.121,0.105,0.092
Q7s,0.545,0.36700000000000005,0.27899999999999997,0.22699999999999998,0.192,0.16699999999999998,0.14800000000000002,0.133,0.121
Q7o,0.519,0.332,0.24,0.18600000000000003,0.151,0.125,0.106,0.092,0.08
Q6s,0.5379999999999999,0.358,0.271,0.21899999999999997,0.185,0.161,0.14300000000000002,0.129,0.11699999999999999
Q6o,0.511,0.32299999999999995,0.23199999999999998,0.179,0.14400000000000002,0.12,0.10099999999999999,0.08800000000000001,0.076
Q5s,0.529,0.349,0.263,0.214,0.18100000000000002,0.158,0.141,0.127,0.11599999999999999
Q5o,0.502,0.313,0.223,0.17300000000000001,0.139,0.11599999999999999,0.098,0.085,0.07400000000000001
Q4s,0.517,0.33899999999999997,0.255,0.207,0.17600000000000002,0.154,0.13699999999999998,0.124,0.113
Q4o,0.49,0.302,0.214,0.16399999999999998,0.133,0.11,0.094,0.081,0.071
Q3s,0.507,0.33,0.247,0.201,0.17,0.149,0.133,0.121,0.111
Q3o,0.479,0.292,0.207,0.159,0.128,0.107,0.091,0.079,0.069
Q2s,0.499,0.322,0.24,0.195,0.166,0.146,0.131,0.11900000000000001,0.109
Q2o,0.47,0.284,0.19899999999999998,0.153,0.12300000000000001,0.10300000000000001,0.08800000000000001,0.077,0.068
JJ,0.775,0.612,0.49200000000000005,0.40299999999999997,0.336,0.285,0.24600000000000002,0.21600000000000003,0.193
JTs,0.575,0.419,0.33799999999999997,0.285,0.247,0.21899999999999997,0.19699999999999998,0.179,0.165
JTo,0.5539999999999999,0.39,0.307,0.253,0.215,0.18600000000000003,0.163,0.145,0.131
J9s,0.5579999999999999,0.396,0.313,0.261,0.22399999999999998,0.19699999999999998,0.17600000000000002,0.159,0.146
J9o,0.534,0.365,0.27899999999999997,0.225,0.187,0.159,0.138,0.121,0.10800000000000001
J8s,0.542,0.375,0.29100000000000004,0.24,0.205,0.179,0.159,0.14400000000000002,0.132
J8o,0.517,0.342,0.256,0.204,0.168,0.141,0.122,0.107,0.095
J7s,0.524,0.354,0.271,0.222,0.18899999999999997,0.16399999999999998,0.146,0.132,0.12
J7o,0.499,0.321,0.235,0.183,0.149,0.124,0.106,0.092,0.081
J6s,0.508,0.336,0.254,0.20600000000000002,0.174,0.152,0.135,0.121,0.111
J6o,0.479,0.298,0.214,0.165,0.132,0.11,0.09300000000000001,0.08,0.07
J5s,0.5,0.32799999999999996,0.247,0.2,0.17,0.147,0.131,0.11800000000000001,0.10800000000000001
J5o,0.47100000000000003,0.29100000000000004,0.207,0.159,0.128,0.106,0.08900000000000001,0.077,0.067
J4s,0.49,0.318,0.24,0.19399999999999998,0.16399999999999998,0.14300000000000002,0.128,0.115,0.106
J4o,0.461,0.281,0.19899999999999998,0.153,0.12300000000000001,0.102,0.086,0.075,0.065
J3s,0.479,0.309,0.23199999999999998,0.188,0.16,0.14,0.125,0.113,0.10400000000000001
J3o,0.45,0.271,0.191,0.146,0.11699999999999999,0.098,0.083,0.07200000000000001,0.063
J2s,0.47100000000000003,0.301,0.226,0.183,0.156,0.13699999999999998,0.122,0.111,0.102
J2o,0.44,0.262,0.184,0.141,0.113,0.094,0.08,0.07,0.062
TT,0.7509999999999999,0.5770000000000001,0.452,0.364,0.3,0.253,0.218,0.192,0.172
T9s,0.5429999999999999,0.389,0.31,0.26,0.225,0.198,0.17800000000000002,0.162,0.149
T9o,0.517,0.35700000000000004,0.27699999999999997,0.225,0.18899999999999997,0.162,0.141,0.126,0.113
T8s,0.526,0.369,0.29,0.24,0.20600000000000002,0.18100000000000002,0.162,0.14800000000000002,0.136
T8o,0.5,0.336,0.254,0.204,0.16899999999999998,0.14400000000000002,0.125,0.11,0.099
T7s,0.51,0.349,0.27,0.222,0.19,0.166,0.14800000000000002,0.135,0.124
T7o,0.48200000000000004,0.314,0.23399999999999999,0.184,0.151,0.128,0.11,0.09699999999999999,0.086
T6s,0.49200000000000005,0.32799999999999996,0.251,0.205,0.174,0.152,0.136,0.12300000000000001,0.11199999999999999
T6o,0.46299999999999997,0.292,0.212,0.165,0.134,0.11199999999999999,0.095,0.083,0.073
T5s,0.47200000000000003,0.308,0.233,0.18899999999999997,0.16,0.139,0.124,0.11199999999999999,0.102
T5o,0.442,0.271,0.193,0.14800000000000002,0.11900000000000001,0.099,0.084,0.07200000000000001,0.064
T4s,0.46399999999999997,0.301,0.22699999999999998,0.184,0.156,0.136,0.121,0.11,0.1
T4o,0.434,0.264,0.187,0.14300000000000002,0.115,0.095,0.081,0.07,0.062
T3s,0.455,0.293,0.22,0.17800000000000002,0.151,0.132,0.11800000000000001,0.107,0.098
T3o,0.424,0.255,0.18,0.13699999999999998,0.11,0.091,0.078,0.068,0.06
T2s,0.447,0.285,0.214,0.174,0.14800000000000002,0.13,0.11599999999999999,0.105,0.09699999999999999
T2o,0.415,0.247,0.17300000000000001,0.132,0.106,0.08800000000000001,0.075,0.066,0.057999999999999996
99,0.721,0.535,0.41100000000000003,0.326,0.266,0.22399999999999998,0.19399999999999998,0.172,0.156
98s,0.511,0.36,0.285,0.23600000000000002,0.20199999999999999,0.17800000000000002,0.159,0.145,0.134
98o,0.484,0.32899999999999996,0.251,0.201,0.166,0.142,0.12300000000000001,0.109,0.099
97s,0.495,0.342,0.268,0.221,0.18899999999999997,0.166,0.149,0.136,0.125
97o,0.467,0.309,0.231,0.184,0.151,0.128,0.111,0.098,0.08800000000000001
96s,0.47700000000000004,0.32299999999999995,0.249,0.204,0.174,0.153,0.13699999999999998,0.124,0.114
96o,0.449,0.28800000000000003,0.212,0.166,0.135,0.114,0.098,0.087,0.078
95s,0.45899999999999996,0.304,0.23199999999999998,0.188,0.16,0.139,0.124,0.113,0.10300000000000001
95o,0.429,0.267,0.192,0.14800000000000002,0.12,0.1,0.085,0.07400000000000001,0.066
94s,0.43799999999999994,0.284,0.213,0.17300000000000001,0.146,0.127,0.113,0.10300000000000001,0.094
94o,0.40700000000000003,0.24600000000000002,0.17300000000000001,0.132,0.105,0.087,0.073,0.064,0.055999999999999994
93s,0.43200000000000005,0.278,0.20800000000000002,0.168,0.14300000000000002,0.125,0.111,0.10099999999999999,0.092
93o,0.39899999999999997,0.239,0.16699999999999998,0.127,0.10099999999999999,0.083,0.071,0.061,0.054000000000000006
92s,0.423,0.27,0.20199999999999999,0.16399999999999998,0.139,0.122,0.109,0.099,0.091
92o,0.389,0.22899999999999998,0.16,0.121,0.096,0.08,0.068,0.059000000000000004,0.052000000000000005
88,0.691,0.499,0.375,0.294,0.24,0.203,0.177,0.158,0.14400000000000002
87s,0.48200000000000004,0.33899999999999997,0.266,0.22,0.18899999999999997,0.16699999999999998,0.15,0.13699999999999998,0.127
87o,0.455,0.306,0.23199999999999998,0.185,0.154,0.131,0.115,0.10300000000000001,0.09300000000000001
86s,0.465,0.32,0.25,0.20600000000000002,0.17600000000000002,0.156,0.141,0.129,0.11900000000000001
86o,0.436,0.28600000000000003,0.213,0.16899999999999998,0.139,0.11800000000000001,0.10400000000000001,0.092,0.083
85s,0.44799999999999995,0.302,0.23199999999999998,0.191,0.163,0.14300000000000002,0.129,0.11800000000000001,0.109
85o,0.41700000000000004,0.265,0.19399999999999998,0.152,0.124,0.105,0.091,0.081,0.073
84s,0.42700000000000005,0.281,0.214,0.174,0.14800000000000002,0.13,0.11699999999999999,0.106,0.098
84o,0.396,0.244,0.175,0.134,0.10800000000000001,0.09,0.078,0.068,0.061
83s,0.408,0.263,0.198,0.16,0.136,0.11900000000000001,0.107,0.09699999999999999,0.08900000000000001
83o,0.375,0.22399999999999998,0.157,0.11900000000000001,0.095,0.079,0.067,0.057999999999999996,0.051
82s,0.40299999999999997,0.258,0.19399999999999998,0.157,0.133,0.11699999999999999,0.105,0.096,0.08800000000000001
82o,0.368,0.217,0.151,0.114,0.091,0.075,0.064,0.055999999999999994,0.049
77,0.662,0.46399999999999997,0.344,0.268,0.21899999999999997,0.18600000000000003,0.16399999999999998,0.14800000000000002,0.13699999999999998
76s,0.457,0.32,0.251,0.20800000000000002,0.18,0.159,0.14400000000000002,0.132,0.12300000000000001
76o,0.42700000000000005,0.285,0.215,0.171,0.142,0.122,0.10800000000000001,0.096,0.08800000000000001
75s,0.43799999999999994,0.301,0.23399999999999999,0.19399999999999998,0.16699999999999998,0.14800000000000002,0.134,0.12300000000000001,0.114
75o,0.408,0.265,0.19699999999999998,0.155,0.128,0.11,0.09699999999999999,0.087,0.079
74s,0.418,0.282,0.217,0.179,0.153,0.135,0.122,0.11199999999999999,0.10400000000000001
74o,0.386,0.245,0.179,0.139,0.114,0.09699999999999999,0.085,0.076,0.068
73s,0.4,0.263,0.2,0.16399999999999998,0.14,0.12300000000000001,0.111,0.10099999999999999,0.09300000000000001
73o,0.366,0.22399999999999998,0.16,0.12300000000000001,0.099,0.084,0.07200000000000001,0.064,0.057
72s,0.381,0.245,0.184,0.15,0.128,0.11199999999999999,0.10099999999999999,0.092,0.085
72o,0.34600000000000003,0.204,0.142,0.107,0.086,0.07200000000000001,0.061,0.054000000000000006,0.048
66,0.633,0.43200000000000005,0.315,0.245,0.201,0.17300000000000001,0.154,0.14,0.131
65s,0.43200000000000005,0.302,0.237,0.19699999999999998,0.17,0.152,0.138,0.127,0.11900000000000001
65o,0.401,0.267,0.2,0.159,0.133,0.115,0.102,0.092,0.085
64s,0.414,0.285,0.221,0.184,0.159,0.142,0.129,0.11900000000000001,0.111
64o,0.38,0.247,0.182,0.14400000000000002,0.12,0.10300000000000001,0.092,0.083,0.076
63s,0.39399999999999996,0.265,0.204,0.168,0.145,0.129,0.11699999999999999,0.10800000000000001,0.1
63o,0.359,0.22699999999999998,0.16399999999999998,0.128,0.106,0.091,0.08,0.07200000000000001,0.065
62s,0.375,0.248,0.188,0.154,0.133,0.11800000000000001,0.107,0.098,0.091
62o,0.34,0.207,0.146,0.11199999999999999,0.091,0.078,0.068,0.06,0.054000000000000006
55,0.603,0.401,0.28800000000000003,0.22399999999999998,0.185,0.16,0.14400000000000002,0.132,0.12300000000000001
54s,0.41100000000000003,0.28800000000000003,0.226,0.18899999999999997,0.165,0.14800000000000002,0.135,0.125,0.11699999999999999
54o,0.379,0.252,0.188,0.15,0.126,0.11,0.098,0.08900000000000001,0.08199999999999999
53s,0.39299999999999996,0.271,0.21100000000000002,0.175,0.152,0.13699999999999998,0.125,0.11599999999999999,0.10800000000000001
53o,0.358,0.233,0.171,0.136,0.114,0.099,0.08800000000000001,0.08,0.073
52s,0.375,0.253,0.195,0.161,0.14,0.125,0.114,0.106,0.098
52o,0.33899999999999997,0.213,0.153,0.12,0.1,0.086,0.076,0.068,0.062
44,0.57,0.368,0.263,0.20600000000000002,0.17300000000000001,0.152,0.139,0.129,0.121
43s,0.38,0.262,0.203,0.16899999999999998,0.147,0.131,0.12,0.111,0.10300000000000001
43o,0.344,0.223,0.163,0.128,0.107,0.09300000000000001,0.083,0.075,0.068
42s,0.363,0.24600000000000002,0.188,0.157,0.13699999999999998,0.12300000000000001,0.11199999999999999,0.10400000000000001,0.096
42o,0.325,0.205,0.147,0.115,0.095,0.083,0.073,0.066,0.06
33,0.537,0.335,0.239,0.19,0.162,0.146,0.135,0.126,0.12
32s,0.35100000000000003,0.23600000000000002,0.18,0.149,0.13,0.11699999999999999,0.107,0.099,0.092
32o,0.312,0.195,0.139,0.10800000000000001,0.08900000000000001,0.077,0.068,0.061,0.055999999999999994
22,0.503,0.307,0.22,0.17800000000000002,0.155,0.142,0.133,0.125,0.12